"","industry","race_gender","employ_n","year"
"920","Wholesale trade","Men",18000,2019
"921","Wholesale trade","Men",23000,2019
"922","Wholesale trade","Men",122000,2019
"923","Wholesale trade","Men",89000,2019
"924","Wholesale trade","Men",550000,2019
"925","Retail trade","Men",491000,2019
"926","Retail trade","Men",406000,2019
"927","Retail trade","Men",32000,2019
"928","Retail trade","Men",273000,2019
"929","Retail trade","Men",4035000,2019
"930","Retail trade","Men",1156000,2019
"931","Retail trade","Men",11000,2019
"932","Retail trade","Men",69000,2019
"933","Retail trade","Men",573000,2019
"934","Retail trade","Men",272000,2019
"935","Retail trade","Men",1179000,2019
"936","Transportation and utilities","Men",631000,2019
"937","Transportation and utilities","Men",316000,2019
"938","Transportation and utilities","Men",35000,2019
"939","Transportation and utilities","Men",89000,2019
"940","Transportation and utilities","Men",91000,2019
"941","Transportation and utilities","Men",1003000,2019
"942","Transportation and utilities","Men",5000,2019
"943","Transportation and utilities","Men",174000,2019
"944","Transportation and utilities","Men",511000,2019
"945","Transportation and utilities","Men",335000,2019
"946","Transportation and utilities","Men",3633000,2019
"947","Information","Men",310000,2019
"948","Information","Men",712000,2019
"949","Information","Men",6000,2019
"950","Information","Men",45000,2019
"951","Information","Men",155000,2019
"952","Information","Men",106000,2019
"953","Information","Men",0,2019
"954","Information","Men",15000,2019
"955","Information","Men",239000,2019
"956","Information","Men",20000,2019
"957","Information","Men",37000,2019
"958","Financial activities","Men",2416000,2019
"959","Financial activities","Men",594000,2019
"960","Financial activities","Men",34000,2019
"961","Financial activities","Men",193000,2019
"962","Financial activities","Men",1117000,2019
"963","Financial activities","Men",428000,2019
"964","Financial activities","Men",0,2019
"965","Financial activities","Men",50000,2019
"966","Financial activities","Men",172000,2019
"967","Financial activities","Men",19000,2019
"968","Financial activities","Men",82000,2019
"969","Professional and business services","Men",2945000,2019
"970","Professional and business services","Men",4196000,2019
"971","Professional and business services","Men",472000,2019
"972","Professional and business services","Men",1788000,2019
"973","Professional and business services","Men",380000,2019
"974","Professional and business services","Men",603000,2019
"975","Professional and business services","Men",10000,2019
"976","Professional and business services","Men",145000,2019
"977","Professional and business services","Men",249000,2019
"978","Professional and business services","Men",225000,2019
"979","Professional and business services","Men",488000,2019
"980","Education and health services","Men",1161000,2019
"981","Education and health services","Men",5383000,2019
"982","Education and health services","Men",112000,2019
"983","Education and health services","Men",1357000,2019
"984","Education and health services","Men",31000,2019
"985","Education and health services","Men",419000,2019
"986","Education and health services","Men",3000,2019
"987","Education and health services","Men",77000,2019
"988","Education and health services","Men",198000,2019
"989","Education and health services","Men",64000,2019
"990","Education and health services","Men",247000,2019
"991","Leisure and hospitality","Men",1116000,2019
"992","Leisure and hospitality","Men",566000,2019
"993","Leisure and hospitality","Men",143000,2019
"994","Leisure and hospitality","Men",4233000,2019
"995","Leisure and hospitality","Men",352000,2019
"996","Leisure and hospitality","Men",230000,2019
"997","Leisure and hospitality","Men",4000,2019
"998","Leisure and hospitality","Men",37000,2019
"999","Leisure and hospitality","Men",104000,2019
"1000","Leisure and hospitality","Men",68000,2019
"1001","Leisure and hospitality","Men",292000,2019
"1002","Other services","Men",332000,2019
"1003","Other services","Men",545000,2019
"1004","Other services","Men",12000,2019
"1005","Other services","Men",596000,2019
"1006","Other services","Men",299000,2019
"1007","Other services","Men",104000,2019
"1008","Other services","Men",2000,2019
"1009","Other services","Men",18000,2019
"1010","Other services","Men",1030000,2019
"1011","Other services","Men",322000,2019
"1012","Other services","Men",254000,2019
"1013","Other services, except private households","Men",331000,2019
"1014","Other services, except private households","Men",544000,2019
"1015","Other services, except private households","Men",12000,2019
"1016","Other services, except private households","Men",535000,2019
"1017","Other services, except private households","Men",298000,2019
"1018","Other services, except private households","Men",103000,2019
"1019","Other services, except private households","Men",2000,2019
"1020","Other services, except private households","Men",14000,2019
"1021","Other services, except private households","Men",1030000,2019
"1022","Other services, except private households","Men",322000,2019
"1023","Other services, except private households","Men",247000,2019
"1024","Private households","Men",1000,2019
"1025","Private households","Men",1000,2019
"1026","Private households","Men",0,2019
"1027","Private households","Men",61000,2019
"1028","Private households","Men",1000,2019
"1029","Private households","Men",1000,2019
"1030","Private households","Men",0,2019
"1031","Private households","Men",3000,2019
"1032","Private households","Men",0,2019
"1033","Private households","Men",0,2019
"1034","Private households","Men",6000,2019
"1035","Public administration","Men",645000,2019
"1036","Public administration","Men",905000,2019
"1037","Public administration","Men",1529000,2019
"1038","Public administration","Men",150000,2019
"1039","Public administration","Men",18000,2019
"1040","Public administration","Men",267000,2019
"1041","Public administration","Men",9000,2019
"1042","Public administration","Men",103000,2019
"1043","Public administration","Men",149000,2019
"1044","Public administration","Men",54000,2019
"1045","Public administration","Men",92000,2019
"1046","Agriculture and related","Women",263000,2019
"1047","Agriculture and related","Women",14000,2019
"1048","Agriculture and related","Women",3000,2019
"1049","Agriculture and related","Women",36000,2019
"1050","Agriculture and related","Women",9000,2019
"1051","Agriculture and related","Women",67000,2019
"1052","Agriculture and related","Women",219000,2019
"1053","Agriculture and related","Women",0,2019
"1054","Agriculture and related","Women",0,2019
"1055","Agriculture and related","Women",6000,2019
"1056","Agriculture and related","Women",18000,2019
"1057","Mining, quarrying, and oil and gas extraction","Women",41000,2019
"1058","Mining, quarrying, and oil and gas extraction","Women",23000,2019
"1059","Mining, quarrying, and oil and gas extraction","Women",0,2019
"1060","Mining, quarrying, and oil and gas extraction","Women",3000,2019
"1061","Mining, quarrying, and oil and gas extraction","Women",3000,2019
"1062","Mining, quarrying, and oil and gas extraction","Women",36000,2019
"1063","Mining, quarrying, and oil and gas extraction","Women",0,2019
"1064","Mining, quarrying, and oil and gas extraction","Women",8000,2019
"1065","Mining, quarrying, and oil and gas extraction","Women",1000,2019
"1066","Mining, quarrying, and oil and gas extraction","Women",1000,2019
"1067","Mining, quarrying, and oil and gas extraction","Women",2000,2019
"1068","Construction","Women",363000,2019
"1069","Construction","Women",55000,2019
"1070","Construction","Women",6000,2019
"1071","Construction","Women",6000,2019
"1072","Construction","Women",35000,2019
"1073","Construction","Women",446000,2019
"1074","Construction","Women",0,2019
"1075","Construction","Women",222000,2019
"1076","Construction","Women",17000,2019
"1077","Construction","Women",8000,2019
"1078","Construction","Women",9000,2019
"1079","Manufacturing","Women",979000,2019
"1080","Manufacturing","Women",523000,2019
"1081","Manufacturing","Women",4000,2019
"1082","Manufacturing","Women",73000,2019
"1083","Manufacturing","Women",211000,2019
"1084","Manufacturing","Women",765000,2019
"1085","Manufacturing","Women",28000,2019
"1086","Manufacturing","Women",17000,2019
"1087","Manufacturing","Women",33000,2019
"1088","Manufacturing","Women",1728000,2019
"1089","Manufacturing","Women",269000,2019
"1090","Durable goods","Women",550000,2019
"1091","Durable goods","Women",304000,2019
"1092","Durable goods","Women",1000,2019
"1093","Durable goods","Women",25000,2019
"1094","Durable goods","Women",95000,2019
"1095","Durable goods","Women",452000,2019
"1096","Durable goods","Women",0,2019
"1097","Durable goods","Women",13000,2019
"1098","Durable goods","Women",23000,2019
"1099","Durable goods","Women",926000,2019
"1100","Durable goods","Women",116000,2019
"1101","Nondurable goods","Women",429000,2019
"1102","Nondurable goods","Women",220000,2019
"1103","Nondurable goods","Women",3000,2019
"1104","Nondurable goods","Women",48000,2019
"1105","Nondurable goods","Women",116000,2019
"1106","Nondurable goods","Women",313000,2019
"1107","Nondurable goods","Women",28000,2019
"1108","Nondurable goods","Women",4000,2019
"1109","Nondurable goods","Women",10000,2019
"1110","Nondurable goods","Women",802000,2019
"1111","Nondurable goods","Women",153000,2019
"1112","Wholesale and retail trade","Women",619000,2019
"1113","Wholesale and retail trade","Women",640000,2019
"1114","Wholesale and retail trade","Women",20000,2019
"1115","Wholesale and retail trade","Women",355000,2019
"1116","Wholesale and retail trade","Women",4720000,2019
"1117","Wholesale and retail trade","Women",1719000,2019
"1118","Wholesale and retail trade","Women",30000,2019
"1119","Wholesale and retail trade","Women",6000,2019
"1120","Wholesale and retail trade","Women",23000,2019
"1121","Wholesale and retail trade","Women",204000,2019
"1122","Wholesale and retail trade","Women",393000,2019
"1123","Wholesale trade","Women",172000,2019
"1124","Wholesale trade","Women",60000,2019
"1125","Wholesale trade","Women",2000,2019
"1126","Wholesale trade","Women",16000,2019
"1127","Wholesale trade","Women",305000,2019
"1128","Wholesale trade","Women",304000,2019
"1129","Wholesale trade","Women",21000,2019
"1130","Wholesale trade","Women",0,2019
"1131","Wholesale trade","Women",6000,2019
"1132","Wholesale trade","Women",24000,2019
"1133","Wholesale trade","Women",96000,2019
"1134","Retail trade","Women",447000,2019
"1135","Retail trade","Women",580000,2019
"1136","Retail trade","Women",18000,2019
"1137","Retail trade","Women",339000,2019
"1138","Retail trade","Women",4415000,2019
"1139","Retail trade","Women",1416000,2019
"1140","Retail trade","Women",8000,2019
"1141","Retail trade","Women",5000,2019
"1142","Retail trade","Women",17000,2019
"1143","Retail trade","Women",180000,2019
"1144","Retail trade","Women",296000,2019
"1145","Transportation and utilities","Women",302000,2019
"1146","Transportation and utilities","Women",94000,2019
"1147","Transportation and utilities","Women",6000,2019
"1148","Transportation and utilities","Women",53000,2019
"1149","Transportation and utilities","Women",44000,2019
"1150","Transportation and utilities","Women",885000,2019
"1151","Transportation and utilities","Women",2000,2019
"1152","Transportation and utilities","Women",4000,2019
"1153","Transportation and utilities","Women",7000,2019
"1154","Transportation and utilities","Women",70000,2019
"1155","Transportation and utilities","Women",699000,2019
"1156","Information","Women",257000,2019
"1157","Information","Women",411000,2019
"1158","Information","Women",3000,2019
"1159","Information","Women",31000,2019
"1160","Information","Women",112000,2019
"1161","Information","Women",269000,2019
"1162","Information","Women",0,2019
"1163","Information","Women",1000,2019
"1164","Information","Women",15000,2019
"1165","Information","Women",11000,2019
"1166","Information","Women",10000,2019
"1167","Financial activities","Women",2230000,2019
"1168","Financial activities","Women",448000,2019
"1169","Financial activities","Women",24000,2019
"1170","Financial activities","Women",84000,2019
"1171","Financial activities","Women",1201000,2019
"1172","Financial activities","Women",1619000,2019
"1173","Financial activities","Women",0,2019
"1174","Financial activities","Women",7000,2019
"1175","Financial activities","Women",15000,2019
"1176","Financial activities","Women",19000,2019
"1177","Financial activities","Women",13000,2019
"1178","Professional and business services","Women",2279000,2019
"1179","Professional and business services","Women",2443000,2019
"1180","Professional and business services","Women",134000,2019
"1181","Professional and business services","Women",1079000,2019
"1182","Professional and business services","Women",301000,2019
"1183","Professional and business services","Women",1670000,2019
"1184","Professional and business services","Women",2000,2019
"1185","Professional and business services","Women",6000,2019
"1186","Professional and business services","Women",20000,2019
"1187","Professional and business services","Women",77000,2019
"1188","Professional and business services","Women",94000,2019
"1189","Education and health services","Women",2411000,2019
"1190","Education and health services","Women",14880000,2019
"1191","Education and health services","Women",52000,2019
"1192","Education and health services","Women",5979000,2019
"1193","Education and health services","Women",79000,2019
"1194","Education and health services","Women",3129000,2019
"1195","Education and health services","Women",2000,2019
"1196","Education and health services","Women",9000,2019
"1197","Education and health services","Women",15000,2019
"1198","Education and health services","Women",108000,2019
"1199","Education and health services","Women",177000,2019
"1200","Leisure and hospitality","Women",1006000,2019
"1201","Leisure and hospitality","Women",450000,2019
"1202","Leisure and hospitality","Women",64000,2019
"1203","Leisure and hospitality","Women",4513000,2019
"1204","Leisure and hospitality","Women",771000,2019
"1205","Leisure and hospitality","Women",540000,2019
"1206","Leisure and hospitality","Women",2000,2019
"1207","Leisure and hospitality","Women",5000,2019
"1208","Leisure and hospitality","Women",9000,2019
"1209","Leisure and hospitality","Women",62000,2019
"1210","Leisure and hospitality","Women",77000,2019
"1211","Other services","Women",408000,2019
"1212","Other services","Women",432000,2019
"1213","Other services","Women",2000,2019
"1214","Other services","Women",2405000,2019
"1215","Other services","Women",97000,2019
"1216","Other services","Women",546000,2019
"1217","Other services","Women",1000,2019
"1218","Other services","Women",0,2019
"1219","Other services","Women",31000,2019
"1220","Other services","Women",137000,2019
"1221","Other services","Women",45000,2019
"1222","Other services, except private households","Women",403000,2019
"1223","Other services, except private households","Women",428000,2019
"1224","Other services, except private households","Women",2000,2019
"1225","Other services, except private households","Women",1673000,2019
"1226","Other services, except private households","Women",97000,2019
"1227","Other services, except private households","Women",543000,2019
"1228","Other services, except private households","Women",1000,2019
"1229","Other services, except private households","Women",0,2019
"1230","Other services, except private households","Women",31000,2019
"1231","Other services, except private households","Women",135000,2019
"1232","Other services, except private households","Women",44000,2019
"1233","Private households","Women",5000,2019
"1234","Private households","Women",5000,2019
"1235","Private households","Women",0,2019
"1236","Private households","Women",731000,2019
"1237","Private households","Women",0,2019
"1238","Private households","Women",4000,2019
"1239","Private households","Women",0,2019
"1240","Private households","Women",0,2019
"1241","Private households","Women",0,2019
"1242","Private households","Women",2000,2019
"1243","Private households","Women",0,2019
"1244","Public administration","Women",752000,2019
"1245","Public administration","Women",944000,2019
"1246","Public administration","Women",373000,2019
"1247","Public administration","Women",225000,2019
"1248","Public administration","Women",19000,2019
"1249","Public administration","Women",927000,2019
"1250","Public administration","Women",6000,2019
"1251","Public administration","Women",5000,2019
"1252","Public administration","Women",6000,2019
"1253","Public administration","Women",19000,2019
"1254","Public administration","Women",26000,2019
"1255","Agriculture and related","TOTAL",1032000,2018
"1256","Agriculture and related","TOTAL",41000,2018
"1257","Agriculture and related","TOTAL",14000,2018
"1258","Agriculture and related","TOTAL",84000,2018
"1259","Agriculture and related","TOTAL",15000,2018
"1260","Agriculture and related","TOTAL",83000,2018
"1261","Agriculture and related","TOTAL",966000,2018
"1262","Agriculture and related","TOTAL",15000,2018
"1263","Agriculture and related","TOTAL",36000,2018
"1264","Agriculture and related","TOTAL",41000,2018
"1265","Agriculture and related","TOTAL",98000,2018
"1266","Mining, quarrying, and
oil and gas extraction","TOTAL",144000,2018
"1267","Mining, quarrying, and
oil and gas extraction","TOTAL",109000,2018
"1268","Mining, quarrying, and
oil and gas extraction","TOTAL",4000,2018
"1269","Mining, quarrying, and
oil and gas extraction","TOTAL",10000,2018
"1270","Mining, quarrying, and
oil and gas extraction","TOTAL",11000,2018
"1271","Mining, quarrying, and
oil and gas extraction","TOTAL",51000,2018
"1272","Mining, quarrying, and
oil and gas extraction","TOTAL",0,2018
"1273","Mining, quarrying, and
oil and gas extraction","TOTAL",246000,2018
"1274","Mining, quarrying, and
oil and gas extraction","TOTAL",55000,2018
"1275","Mining, quarrying, and
oil and gas extraction","TOTAL",51000,2018
"1276","Mining, quarrying, and
oil and gas extraction","TOTAL",102000,2018
"1277","Construction","TOTAL",2149000,2018
"1278","Construction","TOTAL",302000,2018
"1279","Construction","TOTAL",18000,2018
"1280","Construction","TOTAL",49000,2018
"1281","Construction","TOTAL",124000,2018
"1282","Construction","TOTAL",543000,2018
"1283","Construction","TOTAL",3000,2018
"1284","Construction","TOTAL",6992000,2018
"1285","Construction","TOTAL",585000,2018
"1286","Construction","TOTAL",185000,2018
"1287","Construction","TOTAL",232000,2018
"1288","Manufacturing","TOTAL",2630000,2018
"1289","Manufacturing","TOTAL",2297000,2018
"1290","Manufacturing","TOTAL",26000,2018
"1291","Manufacturing","TOTAL",238000,2018
"1292","Manufacturing","TOTAL",602000,2018
"1293","Manufacturing","TOTAL",1243000,2018
"1294","Manufacturing","TOTAL",56000,2018
"1295","Manufacturing","TOTAL",313000,2018
"1296","Manufacturing","TOTAL",710000,2018
"1297","Manufacturing","TOTAL",6103000,2018
"1298","Manufacturing","TOTAL",1344000,2018
"1299","Durable goods","TOTAL",1661000,2018
"1300","Durable goods","TOTAL",1649000,2018
"1301","Durable goods","TOTAL",12000,2018
"1302","Durable goods","TOTAL",93000,2018
"1303","Durable goods","TOTAL",313000,2018
"1304","Durable goods","TOTAL",783000,2018
"1305","Durable goods","TOTAL",4000,2018
"1306","Durable goods","TOTAL",246000,2018
"1307","Durable goods","TOTAL",441000,2018
"1308","Durable goods","TOTAL",3872000,2018
"1309","Durable goods","TOTAL",757000,2018
"1310","Nondurable goods","TOTAL",969000,2018
"1311","Nondurable goods","TOTAL",647000,2018
"1312","Nondurable goods","TOTAL",14000,2018
"1313","Nondurable goods","TOTAL",145000,2018
"1314","Nondurable goods","TOTAL",289000,2018
"1315","Nondurable goods","TOTAL",460000,2018
"1316","Nondurable goods","TOTAL",52000,2018
"1317","Nondurable goods","TOTAL",67000,2018
"1318","Nondurable goods","TOTAL",269000,2018
"1319","Nondurable goods","TOTAL",2231000,2018
"1320","Nondurable goods","TOTAL",587000,2018
"1321","Wholesale and retail trade","TOTAL",1456000,2018
"1322","Wholesale and retail trade","TOTAL",1210000,2018
"1323","Wholesale and retail trade","TOTAL",61000,2018
"1324","Wholesale and retail trade","TOTAL",671000,2018
"1325","Wholesale and retail trade","TOTAL",10063000,2018
"1326","Wholesale and retail trade","TOTAL",3235000,2018
"1327","Wholesale and retail trade","TOTAL",46000,2018
"1328","Wholesale and retail trade","TOTAL",1e+05,2018
"1329","Wholesale and retail trade","TOTAL",703000,2018
"1330","Wholesale and retail trade","TOTAL",606000,2018
"1331","Wholesale and retail trade","TOTAL",2120000,2018
"1332","Wholesale trade","TOTAL",516000,2018
"1333","Wholesale trade","TOTAL",179000,2018
"1334","Wholesale trade","TOTAL",6000,2018
"1335","Wholesale trade","TOTAL",51000,2018
"1336","Wholesale trade","TOTAL",1297000,2018
"1337","Wholesale trade","TOTAL",557000,2018
"1338","Wholesale trade","TOTAL",33000,2018
"1339","Wholesale trade","TOTAL",27000,2018
"1340","Wholesale trade","TOTAL",126000,2018
"1341","Wholesale trade","TOTAL",133000,2018
"1342","Wholesale trade","TOTAL",747000,2018
"1343","Retail trade","TOTAL",940000,2018
"1344","Retail trade","TOTAL",1031000,2018
"1345","Retail trade","TOTAL",55000,2018
"1346","Retail trade","TOTAL",620000,2018
"1347","Retail trade","TOTAL",8766000,2018
"1348","Retail trade","TOTAL",2678000,2018
"1349","Retail trade","TOTAL",13000,2018
"1350","Retail trade","TOTAL",74000,2018
"1351","Retail trade","TOTAL",577000,2018
"1352","Retail trade","TOTAL",472000,2018
"1353","Retail trade","TOTAL",1372000,2018
"1354","Transportation and utilities","TOTAL",912000,2018
"1355","Transportation and utilities","TOTAL",418000,2018
"1356","Transportation and utilities","TOTAL",30000,2018
"1357","Transportation and utilities","TOTAL",164000,2018
"1358","Transportation and utilities","TOTAL",130000,2018
"1359","Transportation and utilities","TOTAL",1729000,2018
"1360","Transportation and utilities","TOTAL",1000,2018
"1361","Transportation and utilities","TOTAL",186000,2018
"1362","Transportation and utilities","TOTAL",560000,2018
"1363","Transportation and utilities","TOTAL",377000,2018
"1364","Transportation and utilities","TOTAL",4044000,2018
"1365","Information","TOTAL",611000,2018
"1366","Information","TOTAL",1159000,2018
"1367","Information","TOTAL",6000,2018
"1368","Information","TOTAL",67000,2018
"1369","Information","TOTAL",319000,2018
"1370","Information","TOTAL",379000,2018
"1371","Information","TOTAL",0,2018
"1372","Information","TOTAL",14000,2018
"1373","Information","TOTAL",291000,2018
"1374","Information","TOTAL",33000,2018
"1375","Information","TOTAL",39000,2018
"1376","Financial activities","TOTAL",4498000,2018
"1377","Financial activities","TOTAL",967000,2018
"1378","Financial activities","TOTAL",54000,2018
"1379","Financial activities","TOTAL",309000,2018
"1380","Financial activities","TOTAL",2381000,2018
"1381","Financial activities","TOTAL",2060000,2018
"1382","Financial activities","TOTAL",0,2018
"1383","Financial activities","TOTAL",62000,2018
"1384","Financial activities","TOTAL",161000,2018
"1385","Financial activities","TOTAL",43000,2018
"1386","Financial activities","TOTAL",115000,2018
"1387","Professional and business services","TOTAL",4777000,2018
"1388","Professional and business services","TOTAL",6510000,2018
"1389","Professional and business services","TOTAL",622000,2018
"1390","Professional and business services","TOTAL",2909000,2018
"1391","Professional and business services","TOTAL",648000,2018
"1392","Professional and business services","TOTAL",2149000,2018
"1393","Professional and business services","TOTAL",14000,2018
"1394","Professional and business services","TOTAL",161000,2018
"1395","Professional and business services","TOTAL",282000,2018
"1396","Professional and business services","TOTAL",303000,2018
"1397","Professional and business services","TOTAL",575000,2018
"1398","Education and health services","TOTAL",3381000,2018
"1399","Education and health services","TOTAL",19706000,2018
"1400","Education and health services","TOTAL",183000,2018
"1401","Education and health services","TOTAL",7239000,2018
"1402","Education and health services","TOTAL",109000,2018
"1403","Education and health services","TOTAL",3525000,2018
"1404","Education and health services","TOTAL",4000,2018
"1405","Education and health services","TOTAL",77000,2018
"1406","Education and health services","TOTAL",216000,2018
"1407","Education and health services","TOTAL",181000,2018
"1408","Education and health services","TOTAL",421000,2018
"1409","Leisure and hospitality","TOTAL",2096000,2018
"1410","Leisure and hospitality","TOTAL",983000,2018
"1411","Leisure and hospitality","TOTAL",204000,2018
"1412","Leisure and hospitality","TOTAL",8530000,2018
"1413","Leisure and hospitality","TOTAL",1006000,2018
"1414","Leisure and hospitality","TOTAL",783000,2018
"1415","Leisure and hospitality","TOTAL",6000,2018
"1416","Leisure and hospitality","TOTAL",45000,2018
"1417","Leisure and hospitality","TOTAL",107000,2018
"1418","Leisure and hospitality","TOTAL",128000,2018
"1419","Leisure and hospitality","TOTAL",380000,2018
"1420","Other services","TOTAL",713000,2018
"1421","Other services","TOTAL",996000,2018
"1422","Other services","TOTAL",29000,2018
"1423","Other services","TOTAL",3e+06,2018
"1424","Other services","TOTAL",363000,2018
"1425","Other services","TOTAL",638000,2018
"1426","Other services","TOTAL",3000,2018
"1427","Other services","TOTAL",16000,2018
"1428","Other services","TOTAL",1153000,2018
"1429","Other services","TOTAL",490000,2018
"1430","Other services","TOTAL",343000,2018
"1431","Other services, except private households","TOTAL",711000,2018
"1432","Other services, except private households","TOTAL",989000,2018
"1433","Other services, except private households","TOTAL",29000,2018
"1434","Other services, except private households","TOTAL",2246000,2018
"1435","Other services, except private households","TOTAL",362000,2018
"1436","Other services, except private households","TOTAL",634000,2018
"1437","Other services, except private households","TOTAL",3000,2018
"1438","Other services, except private households","TOTAL",15000,2018
"1439","Other services, except private households","TOTAL",1152000,2018
"1440","Other services, except private households","TOTAL",489000,2018
"1441","Other services, except private households","TOTAL",336000,2018
"1442","Private households","TOTAL",3000,2018
"1443","Private households","TOTAL",7000,2018
"1444","Private households","TOTAL",0,2018
"1445","Private households","TOTAL",754000,2018
"1446","Private households","TOTAL",0,2018
"1447","Private households","TOTAL",4000,2018
"1448","Private households","TOTAL",0,2018
"1449","Private households","TOTAL",0,2018
"1450","Private households","TOTAL",0,2018
"1451","Private households","TOTAL",1000,2018
"1452","Private households","TOTAL",8000,2018
"1453","Public administration","TOTAL",1451000,2018
"1454","Public administration","TOTAL",1888000,2018
"1455","Public administration","TOTAL",1954000,2018
"1456","Public administration","TOTAL",383000,2018
"1457","Public administration","TOTAL",35000,2018
"1458","Public administration","TOTAL",1238000,2018
"1459","Public administration","TOTAL",23000,2018
"1460","Public administration","TOTAL",111000,2018
"1461","Public administration","TOTAL",153000,2018
"1462","Public administration","TOTAL",79000,2018
"1463","Public administration","TOTAL",105000,2018
"1464","Agriculture and related","Men",753000,2018
"1465","Agriculture and related","Men",26000,2018
"1466","Agriculture and related","Men",11000,2018
"1467","Agriculture and related","Men",52000,2018
"1468","Agriculture and related","Men",12000,2018
"1469","Agriculture and related","Men",14000,2018
"1470","Agriculture and related","Men",759000,2018
"1471","Agriculture and related","Men",14000,2018
"1472","Agriculture and related","Men",36000,2018
"1473","Agriculture and related","Men",33000,2018
"1474","Agriculture and related","Men",86000,2018
"1475","Mining, quarrying, and
oil and gas extraction","Men",111000,2018
"1476","Mining, quarrying, and
oil and gas extraction","Men",85000,2018
"1477","Mining, quarrying, and
oil and gas extraction","Men",4000,2018
"1478","Mining, quarrying, and
oil and gas extraction","Men",8000,2018
"1479","Mining, quarrying, and
oil and gas extraction","Men",10000,2018
"1480","Mining, quarrying, and
oil and gas extraction","Men",17000,2018
"1481","Mining, quarrying, and
oil and gas extraction","Men",0,2018
"1482","Mining, quarrying, and
oil and gas extraction","Men",240000,2018
"1483","Mining, quarrying, and
oil and gas extraction","Men",54000,2018
"1484","Mining, quarrying, and
oil and gas extraction","Men",47000,2018
"1485","Mining, quarrying, and
oil and gas extraction","Men",99000,2018
"1486","Construction","Men",1859000,2018
"1487","Construction","Men",240000,2018
"1488","Construction","Men",13000,2018
"1489","Construction","Men",36000,2018
"1490","Construction","Men",98000,2018
"1491","Construction","Men",79000,2018
"1492","Construction","Men",3000,2018
"1493","Construction","Men",6770000,2018
"1494","Construction","Men",575000,2018
"1495","Construction","Men",182000,2018
"1496","Construction","Men",226000,2018
"1497","Manufacturing","Men",1752000,2018
"1498","Manufacturing","Men",1783000,2018
"1499","Manufacturing","Men",20000,2018
"1500","Manufacturing","Men",151000,2018
"1501","Manufacturing","Men",380000,2018
"1502","Manufacturing","Men",516000,2018
"1503","Manufacturing","Men",29000,2018
"1504","Manufacturing","Men",301000,2018
"1505","Manufacturing","Men",685000,2018
"1506","Manufacturing","Men",4336000,2018
"1507","Manufacturing","Men",1071000,2018
"1508","Durable goods","Men",1148000,2018
"1509","Durable goods","Men",1347000,2018
"1510","Durable goods","Men",9000,2018
"1511","Durable goods","Men",64000,2018
"1512","Durable goods","Men",236000,2018
"1513","Durable goods","Men",318000,2018
"1514","Durable goods","Men",4000,2018
"1515","Durable goods","Men",235000,2018
"1516","Durable goods","Men",424000,2018
"1517","Durable goods","Men",2958000,2018
"1518","Durable goods","Men",626000,2018
"1519","Nondurable goods","Men",604000,2018
"1520","Nondurable goods","Men",436000,2018
"1521","Nondurable goods","Men",10000,2018
"1522","Nondurable goods","Men",87000,2018
"1523","Nondurable goods","Men",144000,2018
"1524","Nondurable goods","Men",198000,2018
"1525","Nondurable goods","Men",25000,2018
"1526","Nondurable goods","Men",66000,2018
"1527","Nondurable goods","Men",261000,2018
"1528","Nondurable goods","Men",1378000,2018
"1529","Nondurable goods","Men",445000,2018
"1530","Wholesale and retail trade","Men",838000,2018
"1531","Wholesale and retail trade","Men",544000,2018
"1532","Wholesale and retail trade","Men",41000,2018
"1533","Wholesale and retail trade","Men",286000,2018
"1534","Wholesale and retail trade","Men",5127000,2018
"1535","Wholesale and retail trade","Men",1444000,2018
"1536","Wholesale and retail trade","Men",24000,2018
"1537","Wholesale and retail trade","Men",97000,2018
"1538","Wholesale and retail trade","Men",681000,2018
"1539","Wholesale and retail trade","Men",414000,2018
"1540","Wholesale and retail trade","Men",1706000,2018
"1541","Wholesale trade","Men",339000,2018
"1542","Wholesale trade","Men",117000,2018
"1543","Wholesale trade","Men",5000,2018
"1544","Wholesale trade","Men",29000,2018
"1545","Wholesale trade","Men",999000,2018
"1546","Wholesale trade","Men",232000,2018
"1547","Wholesale trade","Men",18000,2018
"1548","Wholesale trade","Men",27000,2018
"1549","Wholesale trade","Men",123000,2018
"1550","Wholesale trade","Men",102000,2018
"1551","Wholesale trade","Men",633000,2018
"1552","Retail trade","Men",5e+05,2018
"1553","Retail trade","Men",426000,2018
"1554","Retail trade","Men",36000,2018
"1555","Retail trade","Men",257000,2018
"1556","Retail trade","Men",4128000,2018
"1557","Retail trade","Men",1212000,2018
"1558","Retail trade","Men",6000,2018
"1559","Retail trade","Men",70000,2018
"1560","Retail trade","Men",558000,2018
"1561","Retail trade","Men",313000,2018
"1562","Retail trade","Men",1074000,2018
"1563","Transportation and utilities","Men",627000,2018
"1564","Transportation and utilities","Men",311000,2018
"1565","Transportation and utilities","Men",23000,2018
"1566","Transportation and utilities","Men",104000,2018
"1567","Transportation and utilities","Men",81000,2018
"1568","Transportation and utilities","Men",883000,2018
"1569","Transportation and utilities","Men",1000,2018
"1570","Transportation and utilities","Men",181000,2018
"1571","Transportation and utilities","Men",540000,2018
"1572","Transportation and utilities","Men",321000,2018
"1573","Transportation and utilities","Men",3396000,2018
"1574","Information","Men",373000,2018
"1575","Information","Men",753000,2018
